"business_name","website","city_state","service_focus","recommendation_category","contact_method","current_flow_reviewed","observed_issue","recommended_solution","personalized_outreach_angle","brand_palette_source","demo_or_recommendation_url","date_contacted","follow_up_1","follow_up_2","reply","status","notes"
"Adam & Eve Medical Aesthetics","https://www.adamandevemedspa.com/","Scottsdale, AZ","Injectables, fillers, facial treatments","treatment_consultation_flow","Website consultation request and phone; unverified","Homepage consultation CTA and service positioning reviewed; source rechecked 2026-07-03.","Complimentary consultation CTA is visible, but the pitch can be personalized around a clearer treatment-specific consult path.","Treatment consultation flow cleanup","I noticed your consultation path is visible, and I would start by making one high-intent treatment path easier to request from the first visit.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/adam-eve-medical-aesthetics-recommendation.md","","","","","recommendation_created","Public site shows Scottsdale med spa positioning, consultation request, phone, and medical aesthetics services. Package created 2026-07-03; outreach not drafted; contact method unverified."
"SkinSpirit Scottsdale","https://www.skinspirit.com/locations/scottsdale","Scottsdale, AZ","Botox, fillers, facials, skincare","review_testimonial_workflow","Online consultation booking and phone; unverified","Location page, free consultation CTA, provider section, and booking path reviewed; source rechecked 2026-07-03.","Strong booking path and provider proof exist; opportunity is to reinforce trust and service-specific next steps near the consultation action.","Review/proof placement near consult CTA","I noticed your free consultation path is clear, and I would start by pairing service-specific proof with the consult action so visitors have more context before booking.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/skinspirit-scottsdale-recommendation.md","","","","","recommendation_created","Multi-location brand; package should be lightweight and location-specific. Package created 2026-07-03; outreach not drafted; contact method unverified."
"SkinSpirit Paradise Valley","https://www.skinspirit.com/locations/paradise-valley","Phoenix / Paradise Valley, AZ","Botox, dermal fillers, advanced skincare","treatment_consultation_flow","Online consultation booking and phone; unverified","Location page, Botox/filler references, free consultation CTA, and provider section reviewed; source rechecked 2026-07-03.","Good free consultation path; opportunity is a desert-skin or Botox/filler consult path tailored to Paradise Valley visitors.","Treatment consultation flow cleanup","I noticed the Paradise Valley page already makes consultations easy, and I would start by tightening one treatment-specific path for visitors comparing Botox or filler options.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/skinspirit-paradise-valley-recommendation.md","","","","","recommendation_created","Strong brand and local page; good candidate if we want a polished enterprise-style comparison. Package created 2026-07-03; outreach not drafted; contact method unverified."
"It's a Secret Med Spa Scottsdale","https://secretmedspa.com/scottsdale-az/","Scottsdale, AZ","Injectables, laser hair removal, facials","treatment_consultation_flow","Online booking link and phone; unverified","Scottsdale location page, treatment sections, and repeated Book Now CTAs reviewed; source rechecked 2026-07-03.","Multiple treatment sections have booking CTAs; opportunity is to turn one high-margin service into a clearer consult-first flow.","Treatment consultation flow cleanup","I noticed your Scottsdale page covers several treatments, and I would start by making one high-intent service path clearer before the booking click.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/it-s-a-secret-med-spa-scottsdale-recommendation.md","","","","","recommendation_created","Good fit for a service-specific page critique; avoid making outcome claims. Package created 2026-07-03; outreach not drafted; contact method unverified."
"It's a Secret Med Spa Biltmore","https://secretmedspa.com/biltmore-phoenix-az/","Phoenix / Biltmore, AZ","Injectables, fillers, facials","consultation_followup","Form/consultation link and phone; unverified","Biltmore page, phone, address, free consultation form link reviewed; source rechecked 2026-07-03.","Free consultation form and phone are visible; opportunity is to clarify what happens after a consultation request.","Consultation follow-up workflow","I noticed your Biltmore page sends visitors to a free consultation path, and I would start by clarifying the next step after someone reaches out.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/it-s-a-secret-med-spa-biltmore-recommendation.md","","","","","recommendation_created","Biltmore location fits target subarea. Package created 2026-07-03; outreach not drafted; contact method unverified."
"All About Me Medical Aesthetics","https://allaboutmeaz.com/","Phoenix, AZ","Injectables, CoolSculpting, lasers, microneedling, peels, medical weight loss","treatment_consultation_flow","Online consult booking, phone, and location; unverified","Homepage/service sections, book consult link, testimonials, and service categories reviewed; source rechecked 2026-07-03.","Many services and testimonials are visible; opportunity is to guide visitors into one service-specific consult path instead of scanning a broad menu.","Treatment consultation flow cleanup","I noticed you offer several high-intent services, and I would start by making one service path easier to move from interest to consult request.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/all-about-me-medical-aesthetics-recommendation.md","","","","","recommendation_created","Strong candidate because service menu, testimonials, and booking link are all visible. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Body + Health Restoration Center Paradise Valley","https://www.bhrcenter.com/location/paradise-valley-az/","Paradise Valley, AZ","Aesthetics, hormone therapy, wellness, regenerative treatments","package_membership_clarity","Book consultation and questions link; unverified","Location page, complimentary consultation CTA, same-day appointment proof, service categories reviewed; source rechecked 2026-07-03.","Aesthetics and longevity services are combined; opportunity is to clarify the best first consult path for aesthetic visitors.","Package/service path clarity","I noticed your page combines aesthetics and wellness services, and I would start by clarifying the consult path for visitors interested in injectables or laser treatments.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/body-health-restoration-center-paradise-valley-recommendation.md","","","","","recommendation_created","Good fit but broader wellness positioning may need a precise aesthetic-only recommendation. Package created 2026-07-03; outreach not drafted; contact method unverified."
"DS Skin & Lips Medical Spa","https://www.dsskinandlips.com/botox/","Scottsdale, AZ","Botox, injectables, skin and lips","treatment_consultation_flow","Phone and medical spa visit request; unverified","Botox page and appointment prompt reviewed; source rechecked 2026-07-03.","Botox page has an appointment prompt, but opportunity is to make the CTA and consult path more specific around first-time Botox questions.","Botox/filler campaign page","I noticed your Botox page invites visitors to schedule, and I would start by making the next step clearer for first-time Botox prospects.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/ds-skin-lips-medical-spa-recommendation.md","","","","","recommendation_created","Need recheck full site before package; sourced from Botox landing page. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Moderne Medical Aesthetics","https://www.modernemedical.com/","Scottsdale, AZ","Dysport, dermal fillers, PDO threads, lasers, Sculptra","treatment_consultation_flow","Online appointment link and social links; unverified","Homepage, repeated appointment CTAs, service cards, and founder proof reviewed; source rechecked 2026-07-03.","Service cards are visible but some public text exposes generic button labels; opportunity is a cleaner service-to-appointment path for one treatment.","Treatment consultation flow cleanup","I noticed your service options are visible, and I would start by making one treatment card lead into a clearer appointment path instead of a generic action.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/moderne-medical-aesthetics-recommendation.md","","","","","recommendation_created","Strong package candidate because the public page reveals a clear UX/copy opportunity without needing private data. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Arizona Medical Medspa","https://arizonamedicalmedspa.com/","Scottsdale, AZ","Botox, Dysport, fillers, CO2 laser, concierge injectables","consultation_followup","Vagaro scheduling link; unverified","Homepage, schedule visit CTA, services, and provider experience reviewed; source rechecked 2026-07-03.","Appointments are promoted heavily; opportunity is to clarify first-visit expectations and consultation follow-up around injectables.","Consultation follow-up workflow","I noticed your schedule link is visible, and I would start by clarifying what a new Botox or filler client should expect after booking.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/arizona-medical-medspa-recommendation.md","","","","","recommendation_created","Strong niche fit; avoid clinical claims. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Elixir Medical Spa","https://elixirmedspa.com/","Scottsdale, AZ","Tox, filler packages, aesthetics offers","package_membership_clarity","Jane booking link and phone; unverified","Package offer, Book Now link, address, hours, and contact reviewed","A high-ticket cheeks/lips/tox package is visible; opportunity is to explain the package path and consultation decision points before booking.","Package explanation module","I noticed your cheeks, lips, and tox package is prominent, and I would start by making the package path easier to understand before someone books.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/elixir-medical-spa-recommendation.md","","","","","recommendation_created","Strong package candidate because the public offer is specific and easy to frame."
"Skin Savvy Aesthetics","https://skinsavvyscottsdale.com/","Scottsdale, AZ","Injectables, facials, laser treatments, memberships","package_membership_clarity","Online consultation booking, phone, and email; unverified","Consultation CTA, membership section, services, address, phone, and email reviewed","Consultation and membership are both visible; opportunity is to clarify how membership supports repeat treatment decisions.","Membership/package clarity module","I noticed your consultation and membership paths are both visible, and I would start by making the membership value clearer near the consult action.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/skin-savvy-aesthetics-recommendation.md","","","","","recommendation_created","Strong package candidate; has visible membership angle and contact methods."
"Beautify Spa","https://lovebeautify.com/","Scottsdale, AZ","Facials, lasers, injectables, Tox Club","package_membership_clarity","Book Now and phone; unverified","Medspa page, Book Now CTA, services, Tox Club, review proof reviewed; source rechecked 2026-07-03.","Strong Tox Club and proof are visible; opportunity is to tighten the membership pitch into a consult or joining path.","Membership/package clarity module","I noticed your Tox Club has a strong offer, and I would start by making the path from interest to booking or joining easier to follow.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/beautify-spa-recommendation.md","","","","","recommendation_created","Strong but more established; outreach must be precise and respectful. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Institute of Aesthetics","https://www.instituteofaesthetics.com/","Scottsdale, AZ","Injectables, laser skin treatments, regenerative aesthetics, wellness","treatment_consultation_flow","Book Consultation link; unverified","Homepage positioning and consultation CTA reviewed; source rechecked 2026-07-03.","Luxury positioning and book consultation CTA are clear; opportunity is a natural-looking injectables consult path with proof near the action.","Treatment consultation flow cleanup","I noticed your consultation CTA is clear, and I would start by making one natural-looking injectables path more specific before the booking step.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/institute-of-aesthetics-recommendation.md","","","","","recommendation_created","Good premium-market candidate; package should match boutique tone. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Inside Out Aesthetics","https://insideoutaesthetics.com/","Scottsdale, AZ","Botox, HydraFacial, virtual consultations, specials","consultation_followup","Virtual consultation, call, text, and signup form; unverified","Get Started section, virtual consultation CTA, phone/text, and newsletter fields reviewed; source rechecked 2026-07-03.","Several contact options appear together; opportunity is to clarify whether visitors should book virtual consult, call/text, or join specials first.","Consultation follow-up workflow","I noticed visitors can choose virtual consult, call/text, or specials signup, and I would start by clarifying the best next step for treatment inquiries.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/inside-out-aesthetics-recommendation.md","","","","","recommendation_created","Useful fit for CTA hierarchy and follow-up path. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Paradise Medspa","https://paradisemedspa.com/","Phoenix, AZ","Cosmetic, body contouring, wellness treatments","proof_organization","Website contact path; unverified","Homepage positioning, featured-in proof area, services overview reviewed; source rechecked 2026-07-03.","Broad service and proof positioning are visible; opportunity is to bring proof and next-step clarity closer to one treatment path.","Proof and consultation path cleanup","I noticed your proof and service breadth are visible, and I would start by tying that trust into one clearer consultation path.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/paradise-medspa-recommendation.md","","","","","recommendation_created","Need recheck contact/booking path before package; broad service menu. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Phoenix Medspa","https://phxmedspa.com/","Phoenix, AZ","Botox, Dysport, fillers, PRP, microneedling, PDO threads","treatment_consultation_flow","Booking, pricing, specials, phone/text, email, and financing paths; unverified","Homepage pricing, specials, booking, hours, phone/text, email, and financing details reviewed 2026-07-03","Detailed prices and specials are visible, but opportunity is to turn price shopping into a guided consult path for Botox or filler visitors.","Botox/filler pricing-to-consult path","I noticed your pricing and specials are very clear, and I would start by making the Botox or filler next step easier for visitors comparing options before they book.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/phoenix-medspa-recommendation.md","","","","","recommendation_created","Strong package candidate because price clarity creates a clear conversion opportunity. Package created 2026-07-03; outreach not drafted."
"Sculpt AZ Med Spa","https://www.sculptazmedspa.com/","Phoenix / Biltmore and Ahwatukee, AZ","Injectables, Radiesse, fillers, multi-location aesthetics","treatment_consultation_flow","Book Now, phone, and email; unverified","Homepage, before/after area, Radiesse appointment CTA, locations, phone, and email reviewed; source rechecked 2026-07-03.","Radiesse appointment CTA and before/after section are visible; opportunity is to create a clearer service-specific booking explanation.","Treatment consultation flow cleanup","I noticed the Radiesse path is featured, and I would start by making that booking path easier for first-time visitors to understand.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/sculpt-az-med-spa-recommendation.md","","","","","recommendation_created","Good fit for a treatment-specific recommendation. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Zensken Med Spa","https://www.zensken.com/","Phoenix / Arcadia, AZ","Botox, fillers, lip filler, Bellafill, microneedling, hormone therapy, weight loss","treatment_consultation_flow","Website contact/booking path; unverified","Phoenix location/service content and treatment list reviewed; source rechecked 2026-07-03.","Many treatment options are listed in long-form content; opportunity is to guide visitors into a shorter consult path for one signature service.","Treatment consultation flow cleanup","I noticed your Phoenix page covers many treatments, and I would start by shortening one signature service path into a clearer consult request.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/zensken-med-spa-recommendation.md","","","","","recommendation_created","Good Arcadia fit; recheck booking/contact before package. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Regency Specialties - Matisse Medspa","https://regencyspecialties.com/matisse-medspa/","Phoenix, AZ","Botox, dermal fillers, PRP, facials, peels, lasers","consultation_followup","Book consultation, patient forms, phone; unverified","Medspa page, book consultation link, new patient forms, services, and Phoenix address reviewed; source rechecked 2026-07-03.","Book consultation, patient forms, and service menu are visible; opportunity is to simplify the first-time medspa path.","Consultation follow-up workflow","I noticed your medspa page has both booking and patient-info paths, and I would start by clarifying the first step for new aesthetic clients.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/regency-specialties-matisse-medspa-recommendation.md","","","","","recommendation_created","Broader specialty practice; package should focus only on medspa flow. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Arcadia Wellness Center","https://arcadiawellnesscenter.com/","Phoenix / Arcadia, AZ","Hormone optimization, weight loss, Botox, fillers, laser services","package_membership_clarity","Phone and email; unverified","About/footer services, hours, address, phone, and email reviewed; source rechecked 2026-07-03.","Aesthetics sit alongside wellness and general medical care; opportunity is to separate the aesthetics consult path from broader wellness inquiries.","Service path clarity module","I noticed Botox, fillers, lasers, and wellness services are all grouped together, and I would start by clarifying the aesthetic consultation path.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/arcadia-wellness-center-recommendation.md","","","","","recommendation_created","Good fit if we focus on making aesthetics easier to find. Package created 2026-07-03; outreach not drafted; contact method unverified."
"Bellagio Med Spa - Arcadia","https://www.bellagiomedicalspa.com/","Phoenix / Arcadia, AZ","Botox, fillers, facials, laser treatments, body contouring, skin rejuvenation","package_membership_clarity","Consultation booking, Arcadia phone, and Arcadia email; unverified","Services, structured programs, financing, complimentary consultation, Arcadia location, phone, and email reviewed 2026-07-03","Services, structured programs, financing, and consultation are visible; opportunity is to clarify the Arcadia first-step path across programs and consultation booking.","Program and consultation path clarity module","I noticed your services, programs, financing, and Arcadia consultation path are visible, and I would start by making the best first step clearer for new visitors.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/bellagio-med-spa-arcadia-recommendation.md","","","","","recommendation_created","Package angle corrected from old promo path to current program/consultation clarity after source review 2026-07-03; outreach not drafted."
"Flawless Faces Medspa","https://flawlessfacesaz.com/","Chandler, AZ","Botox, fillers, lasers, facials","treatment_consultation_flow","Square booking link; unverified","Homepage, booking link, services, rating proof, and practitioner summary reviewed; source rechecked 2026-07-03.","Book appointment and services are clear; opportunity is to create a more polished service-specific path for Botox/filler visitors.","Botox/filler campaign page","I noticed your booking link is clear, and I would start by making one Botox or filler path more specific before the Square booking step.","Website colors/assets; recheck before package","EXPERIMENTS/005-med-spa-growth-systems/product/personalized-demos/flawless-faces-medspa-recommendation.md","","","","","recommendation_created","Good independent clinic candidate; playful brand tone should be preserved. Package created 2026-07-03; outreach not drafted; contact method unverified."
