"id","business","website","city_state","contact_method","reviews","page_reviewed","observed_issue","outreach_angle","date_contacted","follow_up_1","follow_up_2","reply","status","notes","","","","",""
"1","Brotherhood Roofing","https://brotherhoodroofing.com/services/hail-and-storm-damage/","North Texas / Dallas, TX","Website inspection form","Not captured","Hail and storm damage page","Has a dedicated storm page; CTA and trust-proof placement should be visually reviewed before outreach.","Offer a focused conversion audit for the existing hail/storm page to improve free inspection requests.","","","","","Not contacted","Source notes: page mentions free roof inspections after hail/storm damage.","","","","",""
"2","Proclaim Roofing Houston","https://proclaimroof.com/areas-we-serve/residential-roofing-houston/","Houston, TX","Website contact / call","Not captured","Houston residential roofing page","City service page covers free drone inspections and storm damage but may be broad rather than a tight storm-damage landing page.","Offer a dedicated Houston storm damage inspection landing page for paid/search traffic.","","","","","Not contacted","Source notes: page mentions residential roof replacement, storm damage repair, and free drone inspections.","","","","",""
"3","TSG Roofing","https://tsgroofing.com/roof-repairs-and-restoration/","Texas","Book appointment CTA","Not captured","Roof repairs and restoration page","Storm damage content exists but page may combine repairs, restoration, and insurance assistance.","Offer a single-purpose storm damage inspection page that separates inspection requests from general repair content.","","","","","Not contacted","Source notes: page mentions storm damage inspections, repairs, and insurance assistance.","","","","",""
"4","Veritas Roofing","https://www.veritasroofingtx.com/","Fort Worth / Round Rock / College Station, TX","Call (817) 455-0117 / website inspection CTA","Not captured","Homepage","Homepage has broad multi-location messaging; needs review for whether storm inspection gets a dedicated conversion path.","Offer a focused storm inspection landing page for Fort Worth or Round Rock homeowners.","","","","","Not contacted","Source notes: site advertises free inspection, quote, lifetime warranty, and insurance-claim support.","","","","",""
"5","EDP Roofing","https://edproofing.com/storm-damage-roof-repair-dallas/","Dallas, TX","Website contact / call","Not captured","Dallas storm damage roof repair page","Dedicated storm page exists; visual hierarchy and CTA repetition should be reviewed before outreach.","Offer conversion-focused cleanup for the Dallas storm damage page to turn traffic into inspection requests.","","","","","Not contacted","Source notes: page mentions free roof inspection for hail damage repair.","","","","",""
"6","Houston Roofing & Construction","https://houstonroofingonline.com/residential-roofing/free-roof-inspection/","Houston, TX","Website contact / call","Not captured","Free roof inspection page","Inspection page is relevant but may be framed as general inspection rather than storm-specific lead capture.","Offer a storm-damage version of the inspection page for severe-weather traffic.","","","","","Not contacted","Source notes: page mentions no-cost inspection, severe weather, hail, and high wind.","","","","",""
"7","Elevated Roofing","https://elevatedroofing.com/service-areas/fort-worth/","Fort Worth, TX","Website contact / inspection CTA","Not captured","Fort Worth service-area page","Service-area page includes free assessment but may not isolate storm damage or inspection traffic.","Offer a dedicated storm inspection landing page for Fort Worth homeowners.","","","","","Not contacted","Source notes: page mentions free no-obligation roof assessment and photo report.","","","","",""
"8","Arrington Roofing","https://arringtonroofing.com/blog/storm-damage-roof-repair-north-texas","Dallas / North Texas","Call (214) 698-8443 / website schedule CTA","BBB A+ / 300+ excellent reviews noted","Storm damage roof repair blog page","Storm offer appears on a blog-style page; may not be optimized as a standalone landing page.","Suggest turning storm damage content into a focused inspection landing page with reviews and CTA above the fold.","","","","","Not contacted","Source notes: page mentions free storm damage inspection, BBB A+, and 300+ excellent reviews.","","","","",""
"9","Firefighter Roofing","https://firefighterroofing.com/articles/roof-inspection-in-fort-worth-tx-what-to-expect-and-why-it-matters/","Fort Worth, TX","Website contact / inspection CTA","Not captured","Roof inspection article","Content is article-style; may not be a focused inspection request landing page.","Offer a conversion page built from their inspection content for storm-related searches.","","","","","Not contacted","Source notes: article mentions roof inspections after storm damage.","","","","",""
"10","Proper Roofing","https://properroof.com/storm-restoration-greater-houston/","Greater Houston, TX","Website free inspection CTA","Not captured","Storm restoration page","Storm restoration page appears relevant but may mix roofing, exterior remodeling, financing, and service-area content.","Offer a lean storm inspection page with one CTA and proof sections for homeowners after storms.","","","","","Not contacted","Source notes: page offers storm restoration and free inspection / quote.","","","","",""
"11","Sixth Gen Roofing","https://sixthgenroofing.com/austin-roofing-companies/","Austin, TX","Call 512-645-2416 / online scheduling","Not captured","Austin roofing companies page","Page is broad and educational; free inspection CTA may compete with general roofing content.","Offer a dedicated Austin hail/wind inspection landing page for post-storm homeowners.","","","","","Not contacted","Source notes: page mentions free evidence-based inspections and HAAG-certified inspectors.","","","","",""
"12","Sugar Roofing","https://www.sugarroofs.com/service-areas/houston-tx","Houston, TX","Website estimator / inspection CTA","Not captured","Houston service-area page","Service page has multiple offers including financing and estimator; storm inspection CTA may need sharper focus.","Offer a storm damage inspection landing page that separates emergency/inspection leads from general roofing traffic.","","","","","Not contacted","Source notes: page mentions free roof inspections, storm damage repairs, insurance claim help, and $99/month financing.","","","","",""
"13","Phoenix Storm Restoration","https://www.phoenixstormgroup.com/service-areas/tarrant-county/fort-worth","Fort Worth, TX","Call (945) 308-0425 / schedule inspection CTA","BBB Accredited noted","Fort Worth service-area page","Strong emergency/storm positioning; page may be location template rather than campaign landing page.","Offer a tighter Fort Worth storm inspection page for emergency roofing response traffic.","","","","","Not contacted","Source notes: page mentions 24/7 emergency roofing response, storm damage repair, and free inspections.","","","","",""
"14","Dynasty Roofing","https://dynastyroofs.com/houston-residents-are-getting-post-storm-roof-inspections/","Houston, TX","Website contact / inspection CTA","A+ BBB noted","Post-storm roof inspections article","Article content may educate but not convert as directly as a landing page.","Offer to turn post-storm inspection content into a focused booking page.","","","","","Not contacted","Source notes: page mentions free roof inspections and estimates, insurance claim assistance, and A+ BBB.","","","","",""
"15","Matthew Lorand Roofing","https://matthewlorandroofing.com/storm-damage-roof-repair-austin/","Austin, TX","Website contact / claim CTA","Not captured","Storm damage roof repair page","Storm damage content exists; CTA flow and homeowner trust proof should be visually reviewed.","Offer conversion audit for storm damage repair page to increase inspection and claim-help inquiries.","","","","","Not contacted","Source notes: page mentions storm damage roof inspection service and insurance paperwork support.","","","","",""
